GNI per capita (constant 2000 US$),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cyprus,,,,,,,,,,,,,,,3874.30420594201,4694.98254603753,5528.87174664363,5928.52317218947,6433.81666926027,6745.46600760464,6785.61812018732,7102.22730975178,7350.81652757449,7908.00819123537,8205.86034784309,8399.77352752462,9000.45046883343,9669.21120047815,10312.9314747163,10852.7350595955,10659.4659754594,11307.5085338994,11137.9879605688,11517.6215251575,11598.7372938537,11643.1729950157,11661.4490394152,13215.3304461712,12465.8974920308,12546.144939646,13055.9289430521,13465.2903454851,13642.7879795669,13580.8308001963,13809.3363325874,14010.8124193454,14369.2934712884,14601.3695725976,14948.4577575005,14928.5238827402,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4857.43607248175,4804.7113430982,4926.44467405276,5199.18063737507,5393.34644589682,5350.30089972651,5331.96942483594,5398.21696388448,5626.39760971672,5756.26120258609,5839.62536355694,6072.49380026867,6270.08393740053,6722.57561332458,7108.73171349921,7312.42036650083,7672.44448492702,7115.19272348538,7294.75874090113,7404.77321771322
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,16451.7542722573,16807.8555355858,17399.8392450938,18117.5028649826,17755.4325260376,17548.8551182483,18571.6269875189,18936.6293379029,19326.4704336388,19864.428951195,19582.8009342254,19256.1255066555,19852.147462406,20431.9321302328,21194.9799367783,22015.6982997584,23130.7882822242,23245.2120396683,23156.9540690398,23201.7825980377,23480.477672009,23706.924790978,24188.1807749762,24249.2943812023,25533.5320364188,26284.2342764944,26820.0732765448,27525.2525876615,28098.6357325151,28804.5857855721,29346.3374015583,29655.5187232803,29765.7704842862,29967.1530869327,30901.6552596702,31865.4067804763,32991.0640194363,33105.9347477412,32821.1017136117,30747.2578313812,31241.8109745461,31669.1524579341
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.36544938582,1107.0896463457,1025.62263761483,985.139656016403,931.406409695114,865.827438028078,825.707747119743,795.858650323924,789.270179494519,774.691096692477,766.808573087692,773.818060816994,826.742986488682,855.289909139597,864.012392142162,,,,,,
Dominica,,,,,,,,,,,,,,,,,2204.23105255777,2425.7995246381,1964.2272534413,2248.42216754469,2524.17942054151,2624.13216988826,2689.51738785861,2811.8658087184,2780.08229465389,3093.11264506605,3302.90337772859,3647.91912256213,3605.49564493741,3876.89744550668,3854.08863792397,3941.41676496394,4022.04748014108,3990.42361612897,4033.2269153976,4062.80655468195,4206.3070719602,4467.54291589648,4349.36296161594,4153.99833398987,4374.605952264,4261.09944228986,4631.01422417986,4721.3177356757,4770.96731729738,5228.61260286491,,,,,
Dominican Republic,844,951.826261852229,983.230781307445,1019.29440515393,871.671171250219,952.187133007395,955.218400702333,930.777857547771,1001.46081712492,1167.22094035783,1265.89430341175,1386.16665052888,1501.21000699716,1544.55622961412,1586.32007072065,1650.71505881681,1667.54627778167,1689.10826518384,1739.19490848559,1766.49607826198,1789.75844686301,1794.05210249011,1831.19566178896,1816.03544646497,1699.62864143408,1749.02770187369,1866.64760821909,1844.52699344884,1907.44679656824,1775.27807527919,1766.22325170074,1911.15240427374,1976.65726324161,1997.38589885218,2069.46451020777,2196.39331588289,2329.65345649511,2445.70015794673,2562.32156056473,2671.72658785043,2675.20623268293,2790.15659664095,2681.86282216912,2622.81896047047,2910.53823513353,3189.90201315994,3415.98529514354,3589.04431267175,3665.63336700579,3913.91367057698,4026.95527248982
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,785,799.693682724752,813.299211827461,851.794091440222,849.427560201868,824.585032766282,858.051242234194,851.847583117424,873.334522208388,910.943921536708,937.268956220897,951.066981191959,1049.16881714891,1100.02493239993,1202.42532056811,1248.71916276843,1235.71677410074,1275.95347581673,1288.84544584809,1308.0984313,1306.15995345575,1238.61747729531,1173.33110755996,1167.34062261511,1147.47214338979,1167.96787920555,1097.59789006417,1154.1596661782,1135.32898735762,1140.9461288977,1200.49844736807,1219.74904074644,1229.34621910661,1269.88863912812,1275.77573877261,1280.56888379896,1317.42746679306,1316.6015092449,1181.15746483139,1177.02214633304,1255.82148343079,1308.05985228034,1326.7815260198,1413.26161800253,1482.46347543956,1535.78038224776,1543.66328323923,1659.47330880132,1644.95453754456,1694.48162859866,1744.3316809484
Egypt,438,454.646912809592,482.286680653091,506.206397468766,538.341158563623,530.645944326458,522.509505508093,524.036361009114,543.136948522624,560.35455587541,566.306140316378,565.811671174519,553.715802947867,554.749975537391,585.029507280054,653.054062205521,717.905635839903,729.585758438396,741.162698568051,789.397420721364,792.747312716455,857.311653156813,901.842010918349,932.639383631804,936.791154565337,929.108704187829,1041.77422431359,1079.85586091783,1101.10993779643,1125.56220727553,1132.89980692785,1164.37870629228,1172.29163887962,1210.93969545544,1251.93483429253,1299.41237601393,1353.59241261896,1386.90390048063,1441.57349569973,1489.61856739506,1517.00448521066,1509.91768114597,1525.73594904617,1556.84375015689,1596.3809243253,1687.34536461169,1781.47411199047,1873.77455375316,1913.92164639713,1939.59742467328,1928.96873082682
El Salvador,1447,1567.89371549181,1582.94371955964,1676.73934619329,1710.49328739954,1780.87133404297,1822.01945737541,1830.43382184584,1842.96579748363,1847.15691589179,1867.52374589909,1928.699112101,1969.79099365558,2007.72383564153,2019.26921292763,2104.82919240708,2193.0199508316,2251.54024506846,2130.27719051019,1826.28096522904,1603.31564093006,1472.20184356816,1471.6508535601,1472.51188435081,1470.5853195588,1452.03954433143,1472.04414163279,1483.08642061272,1479.27096409191,1538.1959820569,1566.737263957,1670.11775890232,1760.87161531346,1851.37824688544,1951.00511344726,1966.74109837879,2021.56909939986,2085.60426738647,2124.98358484987,2168.41521908387,2195.54571781938,2230.72574514163,2261.14305715392,2293.98745861566,2367.91905030095,2464.09820046446,2550.12660010866,2583.43841282201,2468.49535307808,2492.33068039399,2510.25552204005
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698.82274694594,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.920356482794,153.240958783406,185.506745998726,191.549995261164,201.253091759359,213.854295941134,213.93685027075,207.810239244999,172.886848911279,200.828946096119,197.434641866501,183.830066099279,178.618079658722,177.198575090536,169.537491755413,166.790923400152,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2851.27720414556,3074.10831505449,3380.02803333621,3692.04452751293,3703.74256929941,4008.46422034624,4241.35869061602,4532.37977375352,4845.1525862505,5186.42543387724,5715.20102145753,6204.67545692896,6566.10696588574,6422.43886906794,5665.060490761,5670.83966432923,6104.72813695986
Ethiopia,,,,,,,,,,,,,,,,,,,,,141.717834869031,139.016622192541,145.779242261083,136.998779816035,117.702238904767,125.040263527532,137.667509190284,133.764478184237,128.808792254809,128.22038635149,115.088403116967,101.513753425716,110.512826256959,110.327465401571,113.88292680591,124.649240103559,124.166542071232,116.917486103993,119.906080397437,123.813573637084,130.803168488516,129.606698150769,123.37024219931,136.965475921549,150.046292231285,162.571051889727,177.733692897205,192.631989020909,204.643956010652,219.652256851308,230.707562872178
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24119.580066549,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115.72373903183,,,,,,,,,,,
Finland,7801,7971.13309677138,8166.14369592312,8539.25007336018,8956.75408090246,9131.39461734982,9265.09506549332,9425.9974087525,10331.2314657505,10919.9666875611,11158.2678318227,11936.5243551298,12693.3567829834,13036.7337037292,13175.0760420849,13165.1077694219,13114.0923074221,13464.8735899444,14419.8912994521,15152.5770555581,15201.7741868018,15532.5935990297,15907.2991424394,16335.7151929314,16851.6389100315,17292.3550055348,17834.4794168957,18748.7824402412,19429.7047406384,19345.2127161816,17921.815915801,16996.1180420281,16656.9597244038,17405.5418599705,18205.1486991809,18936.1405176605,20232.5229453268,21077.2065868374,22090.0834391739,23349.7674092246,23982.9864786757,24440.1868217937,24638.2509578696,25976.6067490313,26562.3775298079,27758.5116654143,28857.4870060986,28940.5097698653,26676.7313595616,27556.9006296448,28066.1474433446
France,7871,8289.33860393673,8614.90504035643,9054.4653551961,9375.32731678195,9755.08079894253,10126.776856979,10469.0780583591,11111.1284515607,11654.9736327163,12186.6551824767,12621.3263504594,13352.8598983051,13892.1007839468,13592.9761377764,14120.2295519067,14555.3731460683,14999.1266171055,15460.8151171457,15702.4955989882,15759.0459528745,15988.257534611,15992.9811471457,16113.4215551535,16355.3933090144,16688.0283532108,17040.717018536,17699.9104372242,18304.9007844548,18695.17960755,18780.4710351057,19019.5080271709,18845.6983460374,19146.9664563643,19449.9842996004,19689.0203115769,20106.4424678212,20719.6739949673,21491.3585910139,22084.3646455668,22312.9177880943,22206.2314022892,22319.5319598949,22790.2321209754,23089.3082969992,23544.615787903,23925.572871938,23776.2991461106,22926.0651356376,23192.6615003972,23448.2233947816
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14507.5414619778,,,,,,,,,,,
Gabon,2081,2195.96215000299,2875.60675486542,2341.7055264645,2509.9641231953,2628.09547199837,2690.95268981936,2728.25562044562,2981.96749931272,3235.33131092236,3450.62794448874,3771.64523212404,3999.71083200771,5288.75852942262,6300.7770708785,8461.71900378574,7236.39460822012,5062.95457404038,4718.06329691179,4694.04173640394,4887.13976902171,4614.69305045477,4731.79311088635,5165.99534305897,4877.95594276897,4786.48212435812,3844.00416961458,4207.49093877351,4504.22533565184,4339.18707361383,4477.53939810452,4090.12074099384,4064.58457157765,4191.82254516758,4214.17469702594,4191.2895469598,4334.25610980019,4551.46687190262,3934.12256129837,3472.1937393449,3654.62972869088,3746.87445941718,3648.77765915623,3334.68918805468,3584.757631961,3388.5812601399,3581.70528631408,3534.73195404466,3702.64038391908,3601.8021856481,3577.20462797424
Gambia,,,,,,,,,,,507.210829223354,488.951256362372,524.740674741717,542.646636529513,598.219592162182,633.70292294037,638.424743205349,644.938845820109,606.511886984795,618.089979553231,618.237087663574,579.316529810862,594.649950948311,645.444656166775,679.691283840267,705.199731167117,676.388396830316,599.92951337166,556.112008074255,539.315578710643,568.389706227641,571.248777149977,571.986583672839,557.992483924911,549.804324403112,547.158878990904,550.969389113721,553.25320168795,569.705511875984,583.066424786958,594.836650363348,550.617756246701,571.53648111939,594.990810388235,574.663119033529,574.855527452484,602.541507134621,630.84607889134,654.808170868669,680.579635572184,696.750719010407
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.549430697424,,,,,,,,,,,
Germany,,,,,,,,,,11965.7397103893,12301.2556060696,12757.3049045061,13322.7883044569,13435.7522440669,13387.5105596366,14121.6347393777,14604.54374945,15110.8648345423,15684.17952698,15873.7660267506,15906.6136968986,15845.5779783079,16185.809665646,16762.9026407905,17192.9957766781,17539.9783952091,17733.8666446504,18410.316608169,19002.4969829904,19828.4766367402,20544.3578979761,20748.7039966991,20366.2962349287,20650.381560105,20877.7601484888,21029.0332581006,21325.2861226376,21651.4229380337,22023.6771750281,22703.3080284517,22991.0532696658,22902.7776370153,22919.687644052,23591.4839583672,23830.1268499849,24958.3204871953,25730.1945289796,25943.6994638018,24885.3691711549,25772.3244064262,26575.2083660016
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.051410563847,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,3782,3819.16481987283,4191.66291143104,4522.13403277216,4918.85169910043,5180.63404395262,5421.10383659447,5746.65362384061,6288.61133345624,6780.7595459159,7320.19923606788,8007.47291038517,8616.5590482824,8103.80191789702,8498.97798289129,8966.89385370072,9121.10975142289,9613.45688050348,9820.33323782476,9823.67396091944,9547.78017104624,9394.85993691852,9205.17379205229,9250.38668769591,9420.40114697587,9387.06347757458,9196.68962870395,9535.49617487807,9861.76731185396,9918.49317502162,10169.043255958,10158.5672780355,9875.40832526367,9995.17639824032,10130.0989446535,10264.0642715841,10575.106080157,10867.0883989544,11038.7048644618,11441.1495349637,11928.5519951665,12252.4205850428,12828.2516005201,13326.3410835695,13459.8189705399,14045.6996951828,14314.0038104574,14172.2367646917,13770.9701543031,13210.0126850487,12254.4023054201
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18563.7392688985,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787.1875274087,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,962,970.093620314734,1033.26141481846,1049.70181864548,1071.60791178562,1097.69278665862,1110.44596068915,1168.38182799073,1190.36061970726,1224.77867615068,1257.50769440207,1314.0025187478,1370.87370693237,1424.22945864138,1411.21370249956,1489.13028830528,1574.39448208606,1617.30292634083,1658.76092775008,1670.09551615369,1633.30962069246,1532.82612208475,1457.63690587448,1416.29771792426,1380.75969965635,1334.04050154563,1355.9071608306,1380.66400809525,1404.67404287384,1417.0924387473,1447.37081259138,1483.38060541228,1508.04806154326,1530.44370532199,1569.86180405427,1574.67380184468,1607.92416227422,1658.66664136394,1678.09335063918,1696.60673885583,1708.55057880291,1714.70674064941,1713.95575703879,1718.94316548464,1730.399351194,1770.92738553047,1833.01182209813,1848.84245792954,1801.79931535548,1808.47268366621,1824.48616798587
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,317.006745599429,326.519418292006,340.253452927516,335.388776694867,340.118623012866,330.766149816117,326.55759287342,329.170595088666,325.897481457647,326.412128976567,332.367167295526,337.123582321378,346.478657444184,362.209507170104,363.679988015993,366.396372365594,381.873119918503,371.503142206595,373.163960348544,492.996883942896,489.484042399637,500.18963780703,503.299823774296,493.820168937712,500.953545875821,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.667974032073,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.044667151263,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,739,749.251646644078,747.603882168949,762.511286395997,799.0575168045,816.800931421638,835.795252437464,868.059391858271,857.847386902404,862.337483454517,874.800328133172,899.330613975137,939.514184512702,919.532282730807,901.705742558132,946.934940415486,1009.64406136076,1079.51375069712,1091.69862236539,1055.78975278319,1061.42770453699,1000.86681703457,979.623324286279,988.336363559492,1002.20991866675,973.520687209984,995.210581576854,1014.08158639709,1033.63295951616,971.312073812009,967.762018578519,986.726071689258,1061.96228289423,1021.81239169504,1022.37033991451,1040.92008469539,1090.59373219006,1103.5250425151,1069.86276802049,1117.79924124912,1094.73815407194,1112.89570142122,1146.30589208168,1186.76159576453,1238.81503107109,1292.16469957153,1368.20870908272,1392.32485930104,1336.4246604715,1344.12679692399,1336.63435505331
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199.0644669105,25543.0747540779,25895.0459567551,25778.5114373349,27129.3233759912,29029.2160963826,30419.8730333354,32903.2970822371,34970.3402212958,36259.7190525461,34398.2080603346,36255.0224131686,
Hungary,,,,,1808.41104449237,1936.37202535711,2073.86753410365,2167.16951585698,2307.05203087988,2379.23215093972,2520.57310136279,2668.29475000136,2842.59255853767,2993.34036967003,3149.09715364239,3266.41906467377,3486.13197626703,3614.53337169856,3689.70318808469,3702.86871052528,3736.2973450801,3799.7860382066,3878.98684529342,3967.25843818718,3964.56547153674,4037.52881444012,4217.31154640554,4222.87402784611,4257.11098900906,4167.93528263557,3616.42875516687,3530.57683739253,3658.23886095976,3755.80801644968,3754.6136997459,3747.34985942766,3808.49211933427,3965.93148505106,4098.24697312615,4317.40480263839,4482.08930410541,4687.12180316823,4910.80131726444,5125.55646466895,5332.60431392425,5552.87006873888,5474.50936654766,5569.56004593816,5307.26612028617,5362.77146652141,
Iceland,9876,10512.9878441201,11400.7063870056,12323.4077963628,12980.4653284527,13886.6592702963,13473.3886961937,12519.5085795299,12670.8854665409,13604.1373433772,15285.0080430782,15935.5081398472,16775.0921455704,17472.1982643176,17189.8329711251,17993.7900199073,19511.8090117281,20441.9129150821,21223.5189459035,22187.0829561942,22714.7284190978,22765.7323888755,21803.5444150244,22334.2892947152,23023.4163905128,24436.8959730532,26516.6927933298,26020.0171156641,25503.1233166625,25650.6117006102,25481.8353286958,24413.4632206065,24442.3427339247,24929.0902510222,24894.700243918,26090.6124918752,27151.0422580751,28587.7394495387,29461.3796789066,30073.3249321293,30714.163352174,31430.7014326377,31525.4744347789,32855.1807823115,34831.1138819837,34806.7535341268,36294.5611708054,29922.8137714507,28508.4596520718,27933.9022265934,29711.8000886823
India,183,184.582061007148,191.764737632682,201.704616976328,192.214792061553,187.787575625475,198.21665512327,200.588995205479,209.064265687402,214.978852902037,213.631329070765,207.674449295313,209.722058793343,207.544752752049,221.407165504355,219.919653912473,230.407409644404,238.069712449992,220.902741984398,230.566864074733,238.327107450428,240.185207298333,251.65021548949,255.085175802727,262.708530725278,269.037313172531,273.230947857461,292.190821004088,302.718840902422,312.429309335087,308.631709445663,319.010351977372,328.063698472055,343.538484160584,363.215749366335,384.197343163429,392.837494683567,409.812052134561,437.198237611967,445.69360882966,461.02353848864,472.390538055082,501.599068188297,532.998096711528,573.658124511924,617.169406218352,670.340437682706,685.283668696302,731.379700396245,786.623775585652,829.814947595679
Indonesia,204,203.315482238482,193.017937999115,194.124424727755,192.28251979708,191.699769263401,189.503509775509,206.627332781922,216.565774744726,227.967508966597,237.263061898964,247.587895820203,264.302688843546,276.451023042849,286.833720018852,299.784080175243,317.00316547361,337.264791099987,345.230194588504,366.254504434152,388.351014956531,377.413988987793,404.638820515212,416.746212362003,424.621625078539,443.346476900065,457.353020097244,481.898167742346,516.680041621341,552.210890090894,539.863319670658,576.193436427703,664.500446590966,711.408491946792,757.579194858767,805.951479343267,829.587192121287,689.981279739038,673.393500877108,704.408015524477,743.43212347838,773.110446145527,793.108506268922,816.643035396084,850.963070676728,892.675671794857,940.872190023517,993.393968081928,1028.77574013016,1088.8106916355,1145.61669505196
Iran,,,,,932.732857852031,1009.04417915376,1085.89215840736,1180.59388279121,1297.10352105295,1385.61274336783,1527.12032586574,1760.68234206752,1809.65716264286,1952.17542594715,2003.8938109993,2293.80565491527,2176.61712145056,1889.21506816027,1793.75535059727,1491.95003254934,1364.04298040989,1477.05870323889,1600.74704857817,1516.70790290137,1487.72210708415,1303.33835649893,1238.11734280293,1122.44929271004,1156.86059420722,1279.79031758219,1414.35816542311,1449.01113086391,1380.08226634317,1349.9647273382,1379.63568167025,1452.85723795162,1482.16468348863,1498.52754754103,1496.80150361482,1550.83180794979,1586.88096059948,1649.2574362413,1740.08362169859,1808.62284732905,1866.47056140358,1957.74881817944,2098.08864753776,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22122.1376322591,22319.7991088586,22770.8873214196,24168.9648354419,24894.9955993217,25829.8228275519,27033.098855433,27544.627742155,26375.7031975194,23314.0162392045,23062.821097561,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21195.4031515547,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15916.3162564877,16743.1365919865,16888.0371743868,16985.7914810916,16852.3567534755,18124.1895347758,18405.0623741862,18128.8677269668,18066.8666372739,18957.1775758375,19815.8114347578,20665.3049176549,21501.8397394235,21568.7307856259,21095.0671325016,21660.6064432518,22341.5522090108
Italy,6299,6641.61690056541,6962.09783595545,7102.29568899141,7285.64736516311,7668.90772932955,8152.35813392111,8636.0997515704,9117.31054806401,9542.65892273648,9672.52225410846,9977.31497906008,10589.1772954233,11034.6367812905,10755.2259020996,11456.0978261253,11712.6462774829,12052.4070278055,12767.0423611141,13185.5905200274,13184.0343952654,13214.7103747915,13381.6752551892,13808.0683590606,14172.6841107622,14534.9728790876,15028.3436542754,15657.5863469219,16139.6367506613,16344.5972016754,16557.7101778336,16620.0589486151,16505.095118502,16833.2661268477,17380.2160317278,17614.943875005,18044.0427331698,18278.4800457337,18619.9034126829,19241.3666031518,19603.8070785356,19628.9480310464,19463.4426089697,19675.3494485738,19787.5349971323,20162.2297715861,20279.8249178083,19688.7690550009,18610.5082546329,18848.5657802885,18811.2792609757
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345.26667185889,,,,,,,,,,,
Japan,8439,9100.94857383378,9768.23869820554,10785.9932901725,11295.3109435142,12387.0246757884,13635.6828717755,15332.4199317352,16896.7227393151,16623.4563757898,17195.8006649237,18410.7843969348,19727.9290239495,19077.8320421854,19370.6907534008,19994.7588112315,20681.814742732,21594.798778988,22608.2795340921,23026.7603764263,23775.4721315986,24464.2785675843,25063.9320373042,26036.2366972819,27565.0925167007,28166.8699371907,29243.4209002738,31206.5589058948,32775.6890097851,34469.6691381231,35515.6938456529,35781.6148189155,35765.3757877676,35922.8596683596,36542.0884026372,37497.5053959867,38045.6810773946,37205.2083573196,37037.1375248458,37839.9621347068,37963.3924696823,37966.0096443403,38538.7545077019,39513.4855269023,40199.0820617124,41080.9974777755,42175.7215874835,41712.3608653916,39246.0113410725,40957.2119062978,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,1394.54300930653,1424.37472879729,1623.6446747799,1708.02108851313,1957.95196105998,1987.76987807307,2047.82362314823,1986.38114439338,2032.21895832661,2018.06833056845,2066.72815124377,2024.22365265995,1877.86211242309,1561.57403135835,1525.13058645758,1352.49319122094,1556.52330179586,1572.19832339253,1592.3433122147,1653.82426895087,1635.14570538324,1662.69411655304,1679.83510143568,1703.23337133121,1785.18547352433,1843.91570802471,1885.9679562102,1924.46412469226,2058.50087667428,2179.99105729735,2310.58444576203,2463.88121107634,2574.09178387288,2632.63726599127,2572.38894885702,2575.90719454656
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232.00303490532,1089.05391813357,1014.91675461744,1032.59625823467,1062.5424695675,1060.89581416342,1080.16916770081,1144.74369180892,1324.99922871263,1472.41167230161,1588.50249356149,1708.63000142214,1797.33779510525,1909.22843866288,2034.17193494514,1985.14999161969,2091.14549616113,2158.12605296485,2215.97165460192
Kenya,226,240.228034829522,252.332467109925,256.459041379255,254.243180601979,281.186635528036,280.625717923769,293.685570342216,310.156477644343,286.60667829455,338.277508656993,381.188623675725,379.382021513189,383.90092999105,375.640587751756,364.607728214473,385.808926727438,398.212566301726,412.665258526238,421.783998817082,421.227264907454,409.010766455614,401.872543717896,393.467802129591,395.19816794399,408.528583394476,416.527713984298,425.439065611477,434.305910676924,432.40537457774,422.378866394974,406.477886670473,386.812482917987,389.446938263611,401.709298397803,413.832709273743,406.999977761144,411.275113023335,408.453977979703,401.924960868479,405.771887771982,398.323366732224,398.694104626946,409.171666091508,425.794179711234,440.019629790893,457.918473469502,454.950654301035,455.171690835149,466.245969210871,478.248314040444
