Reported Deaths per 100000,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Algeria,,,,,,,,,0.006746176427423,0.019952364395086,0.003278037860944,0.003230577702243,0,,,,
Angola,,,,,,,,,,188.334055948295,96.0229306433895,66.1612486449795,97.9429669838425,254.267099689725,79.6839605825659,85.5409564607218,61.725971715976
Benin,,,,,,,,,10.0236054438466,7.76142188107476,10.2390698275505,6.27340126122175,9.17507866948641,7.03376735864702,11.4784652319234,3.79256283140021,15.891040432766
Botswana,,,,,,,,8.60924645280728,1.37661325606742,2.88027406101596,1.73523545988367,1.5398583786546,1.29566515505732,1.00267100414716,1.04677543581669,0.59914877299778,2.26029807950006
Burkina Faso,,,,,,,,,23.4450059590879,24.3624825057334,23.0605295135221,34.5214260374573,31.838284257603,37.150538415262,31.1317728356366,37.4927431374608,56.2941811470557
Burundi,,,,,,,,,,,8.68315396146779,6.09719632782095,6.85191132860688,5.82687703932127,9.34469994261006,24.7111801293609,5.31012214504464
Cameroon,,,,,,,,,,,,,,,,4.69790952579268,5.11700443297649
Cape Verde,,,,,,,,,,,,0,0.21169756039731,0.4135033659174,0.40390087464734,0.19731377033072,1.34987638989058
Central African Republic,,,,,,,,,10.0836131041675,12.7746314822347,,13.6027197303254,,10.2720213539805,20.8326967113442,15.9372853506525,20.2822919880961
Chad,,,,,,,,,,,,10.6572130203817,10.3521394275267,10.2480319552653,,,7.78550076102076
Comoros,,,,,,,,,,7.35326558524641,11.7304569871323,2.22739782856554,,,3.60071191218378,11.5302380492842,6.84233548459619
"Congo, Rep.",,,,,,,,,,,,,,,,,6.85767133539461
Cote d'Ivoire,,,,,,,,,8.21308766884437,5.83959671049642,4.28172859131305,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,5.01097660343459,,3.60126428285137,29.9012461414108,,,40.1474918626589
Eritrea,,,,,,,,,11.7540163677587,4.75715430970032,2.55136937965896,3.36511936391418,2.12531401514574,1.67638651533846,0.36751810658347,0.70691330282708,0.36230996043362
Ethiopia,,,,,,,,,,,1.59248435009424,2.35930599407162,2.19734787358667,2.84890372705498,4.3210373606735,1.37492969152693,1.67488247743383
Gabon,,,,,,,,,,,,7.54996249908737,,,,36.724457326413,6.02677106966795
Ghana,,,,,,,,,14.5449003099914,14.3538664902485,16.0317537919689,8.32819955045184,9.0880133560137,7.7866610602707,5.71249631691334,7.80563221405271,12.3085257141705
Guinea,,,,,,,,,0.16478916873752,0.16155934093234,5.37632573365512,6.18526409283112,5.16820328704777,6.75844231513786,5.97773971245713,5.44283820241493,
Guinea-Bissau,,,,,,,,,,,77.7096592011885,44.9730409637121,53.5758073633765,75.7093002582906,36.475733953098,35.3804082711254,30.8107792757097
Kenya,,,,,,,,,2.24069030243389,5.07306027682163,2.18546978096857,,0.41017250913857,,,,
Liberia,,,,,,,,,,,,,,,,1.19123852779189,24.5045854589734
Madagascar,,,,,,,,,,4.07156669114908,3.65114569368679,7.8021499604431,7.39576204170626,6.18634297028724,6.58406078290218,7.54723620424763,3.07949105929795
Malawi,610.283664556026,,,,,,,339.217394116178,,42.0550021310998,61.4193751759387,28.0881097631423,47.1049770506999,37.9125464840269,26.8112067586887,38.3333216140733,52.55434607199
Mali,,,,,,,,,,5.99425333092329,7.47685598205954,5.45739103109829,7.78751216798776,11.9767327491359,8.98379756130732,11.0670057677617,15.9921432956198
Mauritania,,,,,,,,,11.5189346100221,21.0609334927813,19.1337068108202,12.7540545215016,3.67525180987775,,,,2.20131303394162
Mozambique,,,,,,,,,5.17591227475683,6.70053980202356,7.53537007076322,18.2206339783849,22.0234467655819,17.786990387172,20.6692411410138,20.4990338570108,24.0422143518382
Namibia,,,,,,15.0883634919543,27.5212614948211,31.2290723823672,22.4718351145785,28.8449629415561,48.8438688174995,90.3285229561473,77.4361229216072,56.1845413263717,59.4332624648102,65.6045496383828,27.9005723282026
Niger,,,,,,,,10.1995576517973,17.6133972349575,20.1741217734218,9.07051819987341,34.8579326695346,20.375505577177,25.3492208935152,10.7902170988557,75.0743166375029,18.7089758386317
Nigeria,2.41810091247525,2.00211710258508,1.06690155017099,0.68920036042655,1.59074319550399,2.99788845176308,4.25858590429657,3.99590939718612,5.23627196431041,3.39225283501175,4.5418623015547,3.37163891064057,3.11566793875054,3.96778906802598,4.37098003169366,4.59407183771497,4.55085836782794
Rwanda,,,,,,,,,38.9997143441976,24.5573572262537,32.7537220972656,50.4194095384238,36.5233429815831,30.37480625822,26.1260550673168,28.0166557773171,24.7986103480047
Sao Tome and Principe,,,,,,,,,113.902798014837,,,173.902067891928,221.217592656403,130.751720773942,111.910471622702,55.6931503977146,16.7606768734891
Senegal,,,,,,,,12.6201043813546,10.4962577627936,12.270123947129,12.9384922272758,14.280505705227,11.2571024879298,14.3303999845425,13.2840139618125,13.4830429707213,13.8993868283016
Sierra Leone,,,,,,,,,,,,5.95307319962589,8.69177072083617,2.1693646202198,1.818057353773,0.64442182205616,1.21894010023867
South Africa,0.095687438240593,0.050676712818216,0.036376759397695,0.11386633049277,0.029600496163517,0.10601252697025,0.3844236263459,0.24054148664122,0.44990450776823,0.90769771707541,1.00884879339041,0.25859923401168,0.20609348005243,0.3015581253499,0.18720712733292,0.13350393188896,0.18018966266818
Swaziland,,,,,,,,,10.687783373339,14.3283145767041,,5.11835497932185,4.8655144271683,2.7212414666403,2.51316268958671,1.51174402794414,1.32320289199224
Togo,,,,,,,,,9.43803927217815,14.6714148932482,16.3426545690305,24.9979870702664,28.9194217160308,19.1301924717444,19.4865853061922,16.4140126939306,12.7760580104792
Uganda,,,,,,,,,,,,,,31.1358566863313,,266.001722240242,157.198006408193
Tanzania,,,,,,,,,,,,2.41413765101756,1.23823828062219,40.8827030571879,52.1142142445821,46.9750497903042,52.66771532408
Zambia,59.8730219156437,59.8641450422714,38.6649657969596,53.2933203432049,63.9792430286167,,,,,83.9216817044278,31.2700940016534,87.8447324429846,82.9925297523297,82.9185898093794,73.5505836619034,67.4053521957966,55.4369933861205
Zimbabwe,,,,,,,,9.77475664177083,10.089408489833,9.0948834293859,14.1271462121708,3.22698688402146,14.339794017102,8.06715894366272,13.8884261119608,14.6040158452048,
Argentina,,,,,,,,,,,,0,0,0,0,,
Belize,,,,,,,,,,,,0,0,,0,,0.35505689786788
Bolivia,,,,,,,,,0.28823655248029,,,,0.04618225712318,0.022636600281441,0,0,0
Brazil,,,,,,,,,,,,0.080361389014691,0.051883975491907,0.056659642649614,0.054254151282156,0.065299740071173,0.051235194171112
Colombia,,,,,,,,,,,,0.13693941077994,0.092981502794478,0.054951920160905,0.056411322844618,0.062297269666414,0.1163340642844
Costa Rica,,,,,,,,,,,,0,0,0,,,
Dominican Republic,,,,,,,,,0.16564793188557,,,0.17998501399777,0.12175096482105,0.13072241454757,0.1715885593757,0.16896171232558,0.10400776230732
Ecuador,,,,,,,,,0.13370696630844,,,,0,0,,,
El Salvador,,,,,,,,,,,,0,0,0,0,0,0
French Guiana,,,,,,,,,,,,0,,2.20346825903973,0,,2.53581843540003
Guatemala,,,,,,,,,0.084002255740574,,,,0,0,0.008066738385349,0,0.007675438259849
Guyana,,,,,,,,,4.61773318194412,,,,,,1.08255276768147,2.97509574399031,2.70612924743899
Haiti,,,,,,,,,0.30196942040231,,,0.18353709009285,,0.17768772958504,,0.31195236896091,0.33876970488395
Honduras,,,,,,,,,,,,0,0,0,,0.014632483234832,0
Mexico,,,,,,,,,,,,0,0,0,0,0,
Nicaragua,,,,,,,,,,,,0.038579197595127,0.1522060458905,0.13144917836752,0.018540513060494,0.10983903272819,0.01807544909357
Panama,,,,,,,,,,,,0,0.065299022179792,0.096180696598313,0.094477565829606,,
Paraguay,,,,,,,,,,,,0,0,0,0,,
Peru,,,,,,,,,,,,0.096171149562987,0.045590917559767,0.093838718643558,0.044512778153396,,
Suriname,,,,,,,,,,,,5.22589499132047,3.6077964481244,4.03038010962634,1.55701222699459,0.44202020916396,0.21964891317718
Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,
Afghanistan,,,,,0.12759706424675,,,,,,,,,,,,0.095830774811364
Egypt,,,,,0,,,,,,,,,0,0,,0
Iran,,,,,,,,0.034420360118637,,0.004584678554433,0.00604912692573,0.002995379402618,0.002968123628523,0.007352881380244,0.001456258565349,0.001440494462977,0.001423078771437
Iraq,,,,,0,,,,,,,0,0,0,0,0,0
Morocco,,,,,,,,0,,,,,,,0.006633105364557,0.003279227070439,0.006482358310476
Pakistan,,,,,,,,,,,,,,0.018994015254329,,0.032894613861862,0.005592040026779
Saudi Arabia,,,,,,,,0.031262179223989,0.14200326850952,,,0,0,0,0,0,0
Somalia,,,,,,,,,,,,,0.10675101420135,0.69943058578866,0.99319123406902,0.18300728552004,0.68676479904137
Sudan,,,,,3.24317876338707,,6.42414526895904,5.87867471930214,6.15141168929075,8.0425485787418,6.48302552305976,6.61119525478231,6.11469668931905,6.99563555871113,5.01864145873703,4.61520779532716,0.26254735697952
Syrian Arab Republic,,,,,,,,,,,,,0,,0,0.010585437687471,0.010305265140302
Yemen,,,,,,,,,,,,,,0.14589360562916,,,0.31287951374238
Armenia,,,,,,,,,0,0,,0,0,0,0,0,0
Azerbaijan,,,,,,,,,0,0,,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Russian Federation,0.00067287997305,0.000670730425568,,0.000669529897884,0.002009737176621,0.001341167081314,0.002014419686145,0.002690578447191,,0.002028026309585,0.001356640075187,,0.001368371001942,,,,
Tajikistan,,,,,,,,0.11790170669458,0,,,0,0,0,,,
Turkey,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,
Turkmenistan,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,
Uzbekistan,0,0.004759964283132,0,0.004544454145844,0,0,0,0,,0,,0,0,0,0,0,0
Bangladesh,,,,,,1.10295877043518,0.61588199409341,0.35658807376817,0.39365703990305,0.40363502589735,0.34711669667457,0.33059799832056,0.41257548001139,0.84607393772456,0.27303843871014,,
Bhutan,,,,,,,4.91164925323285,2.70949212505467,3.21431542644512,,,2.43776728377004,1.86162065925065,2.46923741717766,0.80246517301149,0.78491333771838,0.92483268235388
"Korea, Dem. Rep.",,,,,,,,,,,,0,0,0,,,
Democratic Republic of Timor-Leste,,,,,,,,,,,,,,10.483158282062,6.41428589755102,8.24522034882904,6.10568034788012
India,,,,,,,0.28808744202708,0.088652349851409,0.065946781695757,,0.089654776102901,0.095380732727381,0.089934444371074,0.091496625085137,0.084960843566028,0.084890456064067,0.14829588295326
Indonesia,,,,,,,0.073899873799987,0.09797090682536,0.021847843934112,,,0.031690586091898,0.090588900739787,,,,0.21584826188777
Myanmar,,,,,,,7.83288556938844,6.64508297954231,7.09474370238375,8.03791215231844,6.00645013413933,6.0720735712631,5.63205574546341,5.24911947928735,4.16688583813419,3.55867686934669,3.40435516862348
Nepal,,,,,0,0,0.067520051091972,0.008784782192087,0.030016332744256,,0,0.004006657462039,0.011768785728072,0.019215172423122,0.026361491976089,0.036909009252941,0.1519461974433
Sri Lanka,,,,,,,0.14258862184477,0.33200276422236,0.62167283402157,,,0.28183502037295,0.15883810140606,0.010546546841723,0.010504150925321,0,0
Thailand,2.37054455276398,,,,,,1.41986116233135,1.29865430007811,1.15678251770722,1.23145608115895,1.03023808109734,0.69290566411323,0.58533021736602,0.52312610956054,0.36761726043594,0.1126932055568,0.1781099638938
Cambodia,10.518079340966,11.5837472555832,13.5545145149308,10.2473495928961,9.1129710362866,5.38850601827669,6.36757198155507,6.76445798633513,5.06373001854989,7.11302225130587,4.7575943099172,3.6549311893937,3.4467786082813,3.64732772455381,2.78420075399363,2.12102648796636,2.7893979211378
China,0.003048430760038,,0.004422696243914,0.001599051150652,0.003582816685196,0.002786087901799,0.002434270335484,0.00369699543702,0.001911177212466,0.00528911736055,0.003053877579463,0.002176145408793,0.003241537075848,0.00398710473106,0.002362026008974,0.003634960973768,0.002860424766574
Laos,9.12592749597797,10.8818488380233,10.1277577329361,9.39356239842368,13.3175767521033,13.2131223353981,12.6466796433803,12.3202508939806,8.49697302798091,6.59248367141267,6.6998853362481,4.59030407378199,3.60949018264946,3.40791441651676,1.88390346232749,1.35948487882046,0.36462106148483
Malaysia,0.23752521703038,,0.13097662722087,0.11747537652263,0.13944880072537,0.16995280944619,0.18934853877839,0.11537744068284,0.12154324265487,0.092298312364915,0.15038488863892,0.19348179191227,0.16076975569675,0.084923255056604,0.13893605547439,0.12864000037423,0.080417456975607
Papua New Guinea,11.0627341753276,,11.493291136098,10.0327048261789,6.12908953138421,8.81376867828725,10.6264806522592,7.84787044011059,12.7517091403703,10.8148523972923,11.4658035660693,11.2134309004476,11.9801045449654,9.64127888546126,10.8508736132701,12.0434089931809,10.7712575120653
Philippines,1.49119723244247,1.47439295380586,1.34721345736512,1.23610607625241,1.16848898784083,0.93749527971856,0.76483049130314,0.71808700504212,0.7675281890119,1.01161310405294,0.7032915355977,0.56402229972011,0.12328605803636,0.19957537013747,0.20152549489985,0.17146337832544,0.12635672050939
"Korea, Rep.",0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
Solomon Islands,10.5229591836735,14.2564929027459,9.93838203140529,11.7050788337059,13.9333587356472,14.0957182183012,8.06120063522261,7.05498709198658,8.38727878552203,5.68795859166145,9.1472368123324,12.8920048473938,13.472134374265,15.8001789203359,7.3775116087315,8.04370696352179,2.47923127302328
Vanuatu,21.4119866978033,20.8025899224453,16.4004743521813,7.95778700064886,4.76215987761249,2.32261061433051,0,0,0,0,,1.02991384770664,4.01705238738445,3.91274576934364,0.47637648986747,4.64325845305201,2.71769901483411
Viet Nam,5.0474114388216,6.8682919860234,3.80762688497061,1.45353840975248,0.83893782692879,0.4745691290736,0.27220990811347,0.20068397323003,0.23810485398734,0.24370069614258,0.18711818723541,0.11338742810785,0.061394642416176,0.06050355584843,0.028626130721727,0.021169337019762,0.047560568006352