Female long-term unemployment (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Armenia,,,,,,,,,,,,,,,,,,,,,,30.2999992370606,,,,,,
Aruba,,,,,,,,,,,,,,,1,,,2.09999990463257,,,,,,,,,,
Australia,1.5,1.29999995231628,1.5,2.40000009536743,2.40000009536743,2.09999990463257,1.79999995231628,1.79999995231628,1.70000004768372,1.29999995231628,1.20000004768372,1.89999997615814,2.90000009536743,3.09999990463257,2.90000009536743,2.20000004768372,2,2.20000004768372,1.89999997615814,1.60000002384186,1.29999995231628,1.20000004768372,1.10000002384186,1,1,0.80000001192093,0.80000001192093,0.69999998807907
Austria,,,,,,,,,,,,,,,1.10000002384186,1.5,1.5,1.5,1.70000004768372,1.5,1.10000002384186,0.89999997615814,1.10000002384186,1,1.39999997615814,1.39999997615814,1.29999995231628,1.39999997615814
Bahamas,,,,,,,,,,,,4.90000009536743,6.80000019073486,5.69999980926514,6.69999980926514,5.59999990463257,6.09999990463257,4.5,4.30000019073486,3.79999995231628,,,,,,,,
Barbados,,,,,,,,,,,,,15.8000001907349,18.2000007629395,17,16.8999996185303,12,11.6999998092651,10,7.5,6.40000009536743,6.40000009536743,,,,,,
Belgium,,,,12.3000001907349,12.8999996185303,12.8000001907349,12.8999996185303,13.1999998092651,11.8000001907349,9.89999961853027,7.80000019073486,6.90000009536743,5.80000019073486,6.40000009536743,7.80000019073486,7.69999980926514,7.80000019073486,7.09999990463257,7.40000009536743,6.19999980926514,4.69999980926514,3.5,4.19999980926514,3.79999995231628,4,4.69999980926514,5.09999990463257,4.40000009536743
Belize,,,,,,,,,,,,,,7,7.90000009536743,10.6000003814697,10.8000001907349,12.6000003814697,13,13,,,,,,,,
Botswana,,,,,,,,,,,,,,,,9.10000038146973,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,9,9.10000038146973,8.10000038146973,6.30000019073486,8.5,7.90000009536743,8.19999980926514,,,,,,,,
Canada,0.40000000596046,0.40000000596046,0.69999998807907,1.10000002384186,1.10000002384186,1.10000002384186,0.89999997615814,0.69999998807907,0.60000002384186,0.5,0.5,0.80000001192093,1.20000004768372,1.5,1.5,1.29999995231628,1.39999997615814,1.20000004768372,0.89999997615814,0.69999998807907,0.60000002384186,0.5,0.60000002384186,0.60000002384186,0.5,0.60000002384186,0.5,0.30000001192093
Chile,,,,,,,0.80000001192093,0.69999998807907,0.69999998807907,0.40000000596046,0.30000001192093,0.40000000596046,0.89999997615814,0.80000001192093,1.20000004768372,1,,,,,,,,,,,,
Costa Rica,0.80000001192093,1.39999997615814,2.5,2.29999995231628,1.29999995231628,1,1,1.20000004768372,1.29999995231628,0.5,0.80000001192093,0.69999998807907,0.89999997615814,0.69999998807907,0.5,0.80000001192093,1,1.10000002384186,1.20000004768372,1,1,1,,,,,,
Czech Rep.,,,,,,,,,,,,,,0.89999997615814,1.10000002384186,1.39999997615814,1.29999995231628,1.60000002384186,2.5,4.19999980926514,5.09999990463257,5.09999990463257,4.59999990463257,5.09999990463257,5.40000009536743,5.30000019073486,5,3.70000004768372
Denmark,,,,5,3.40000009536743,3.29999995231628,2.29999995231628,2,1.89999997615814,2.20000004768372,2.79999995231628,3.40000009536743,2.79999995231628,3,2.90000009536743,2.09999990463257,2.09999990463257,1.79999995231628,1.79999995231628,1.20000004768372,1,0.89999997615814,1,1,1.20000004768372,1.29999995231628,0.89999997615814,0.69999998807907
Dominica,,,,,,,,,,,,,,,,,,13.1000003814697,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,0.60000002384186,0.30000001192093,,,0.30000001192093,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,0.60000002384186,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,4.5,4.40000009536743,,,,,,,,,
Finland,1.29999995231628,,1.29999995231628,0.89999997615814,0.69999998807907,0.80000001192093,0.60000002384186,0.80000001192093,,0,,0.69999998807907,,4.09999990463257,,4.80000019073486,4.40000009536743,4.09999990463257,3,2.70000004768372,2.70000004768372,2,1.79999995231628,1.79999995231628,1.79999995231628,1.79999995231628,1.70000004768372,1.39999997615814
France,3.20000004768372,3.79999995231628,3.70000004768372,4,4.80000019073486,5.5,5,5.69999980926514,5.30000019073486,5,4.40000009536743,4.19999980926514,4.40000009536743,4.40000009536743,5.19999980926514,5.59999990463257,5.5,5.80000019073486,5.80000019073486,5.30000019073486,4.90000009536743,3.79999995231628,3.29999995231628,3.79999995231628,3.90000009536743,4,3.90000009536743,3.29999995231628
Germany,,,,,,,,,,,,1.79999995231628,2.5,4,4.90000009536743,4.90000009536743,4.90000009536743,5.5,5.59999990463257,4.90000009536743,4.30000019073486,4.09999990463257,4.09999990463257,4.80000019073486,5.30000019073486,5.90000009536743,5.59999990463257,4.80000019073486
West Germany,,,,2.90000009536743,3.5,3.90000009536743,3.79999995231628,3.79999995231628,3.5,3.40000009536743,2.70000004768372,,,,,,,,,,,,,,,,,
Greece,,,,5,5.69999980926514,6.19999980926514,6,6.09999990463257,6.59999990463257,7,6.59999990463257,7,7.30000019073486,8.60000038146973,7.80000019073486,7.90000009536743,9.60000038146973,9.19999980926514,10.1000003814697,10.6999998092651,10.1999998092651,8.69999980926514,8.5,8.69999980926514,9.39999961853027,9,8,6.90000009536743
Hungary,,,,,,,,,,,,,1.70000004768372,3.59999990463257,3.5,4,4.30000019073486,3.5,3.09999990463257,3,2.59999990463257,2.20000004768372,2.29999995231628,2.40000009536743,2.59999990463257,3.20000004768372,3.5,3.70000004768372
Iceland,,,,,,,,,,,,0.30000001192093,0.20000000298023,0.60000002384186,0.80000001192093,0.69999998807907,0.60000002384186,0.5,0.5,0.40000000596046,0.40000000596046,0.30000001192093,0.30000001192093,0.20000000298023,0.40000000596046,0.30000001192093,0.10000000149012,0.10000000149012
Ireland,,,,4.19999980926514,5.90000009536743,10.1000003814697,10.5,10.3999996185303,9.89999961853027,9.10000038146973,8,8.5,7.5,7.80000019073486,8.19999980926514,6,5.80000019073486,4.59999990463257,,2.09999990463257,,0.80000001192093,0.69999998807907,1,0.80000001192093,0.80000001192093,1,0.89999997615814
Italy,,,,8.19999980926514,9.69999980926514,10,11.3000001907349,10.8000001907349,11.6999998092651,11.8999996185303,10.6000003814697,10.6999998092651,7.5,8.80000019073486,9.89999961853027,10.3999996185303,11.1000003814697,11.1000003814697,9.60000038146973,9.80000019073486,9,8.10000038146973,7.5,7,5.09999990463257,5,4.59999990463257,3.79999995231628
Jamaica,,,,,,,,,,,,,6.30000019073486,7,7.19999980926514,6.19999980926514,6.69999980926514,6.59999990463257,6.5,6.80000019073486,7.69999980926514,7.59999990463257,,,,,,
Japan,0.30000001192093,0.20000000298023,0.30000001192093,0.10000000149012,0.30000001192093,0.20000000298023,0.30000001192093,0.40000000596046,0.40000000596046,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.40000000596046,0.30000001192093,0.40000000596046,0.40000000596046,0.40000000596046,0.69999998807907,0.80000001192093,0.80000001192093,1.10000002384186,1.20000004768372,1,0.89999997615814,0.80000001192093,0.69999998807907
"Korea, Rep.",,,,,,,,,,,0,0,0.10000000149012,0,0.10000000149012,0.10000000149012,0,0,0,0.10000000149012,0,0,0,0,0,0,0,0
Latvia,,,,,,,,,,,,,,,,8.39999961853027,9.60000038146973,8.60000038146973,7.19999980926514,7.19999980926514,,,,,,,,
Luxembourg,,,,1.79999995231628,1,1.70000004768372,1.10000002384186,1.29999995231628,0.60000002384186,0.69999998807907,0.5,0.30000001192093,0.5,1.10000002384186,1,0.89999997615814,1.20000004768372,1.29999995231628,1.10000002384186,0.89999997615814,0.60000002384186,0.5,1,0.80000001192093,1.39999997615814,1.20000004768372,1.60000002384186,0.89999997615814
Mexico,,,,,,,,,,,,,,,,0.10000000149012,0.10000000149012,0.10000000149012,0,0,0,0,0,0,0,0.10000000149012,0.10000000149012,0.10000000149012
Namibia,,,,,,,,,,,,,,,,,,11.3999996185303,,,,,,,,,,
Netherlands,,,,6.59999990463257,,6.69999980926514,,7.19999980926514,6.69999980926514,5.19999980926514,5,4.09999990463257,3.29999995231628,3.70000004768372,3.79999995231628,3.5,3.59999990463257,3.29999995231628,2.5,1.79999995231628,,,0.80000001192093,1.10000002384186,1.5,1.79999995231628,1.89999997615814,1.39999997615814
Netherlands Antilles,,,,,,,,,,,,,8.39999961853027,7.69999980926514,5.30000019073486,8.60000038146973,7.59999990463257,9.69999980926514,10,,,,,,,,,
New Zealand,,,,,,,0.20000000298023,0.20000000298023,0.5,0.69999998807907,0.80000001192093,1.60000002384186,2.20000004768372,2.09999990463257,1.79999995231628,1.10000002384186,0.89999997615814,0.89999997615814,1,1,0.69999998807907,0.60000002384186,0.5,0.5,0.40000000596046,0.20000000298023,0.20000000298023,0.20000000298023
Norway,,,,0.20000000298023,0.30000001192093,0.10000000149012,,0.10000000149012,0.30000001192093,0.30000001192093,0.89999997615814,1,1,1.29999995231628,1.20000004768372,0.60000002384186,0.60000002384186,0.40000000596046,0.20000000298023,0.20000000298023,0.10000000149012,0.10000000149012,0.10000000149012,0.20000000298023,0.30000001192093,0.40000000596046,0.40000000596046,0.20000000298023
Panama,,,,,,,,,,,,5.19999980926514,5.40000009536743,4.59999990463257,4.40000009536743,5.59999990463257,5.09999990463257,4.19999980926514,5,3.90000009536743,4,5.69999980926514,,,,,,
Poland,,,,,,,,,,,,,5.40000009536743,6.30000019073486,7,6.5,5.90000009536743,5.5,5.09999990463257,5.19999980926514,7.5,9.19999980926514,10.8999996185303,10.3999996185303,9.80000019073486,10.1999998092651,7.80000019073486,4.80000019073486
Portugal,,,,,,,6.80000019073486,5.69999980926514,4.40000009536743,3.70000004768372,3.29999995231628,2.40000009536743,1.70000004768372,2.5,3.29999995231628,4,4.19999980926514,4,2.5,2.20000004768372,1.89999997615814,2,1.89999997615814,2.5,3.09999990463257,4,4.40000009536743,4.40000009536743
Romania,,,,,,,,,,,,,,,3.70000004768372,3.40000009536743,3.20000004768372,3.90000009536743,3.20000004768372,3.59999990463257,,,,,,,,
Russia,,,,,,,,,,,,,0.60000002384186,0.89999997615814,1.70000004768372,2.40000009536743,2.59999990463257,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,6,7.59999990463257,6.5,6.69999980926514,7,8.19999980926514,10.1999998092651,10.3999996185303,11.5,11,11.5,11.6000003814697,10.6000003814697,8.69999980926514
Slovenia,,,,,,,,,,,,,,3.09999990463257,3.29999995231628,,,,,,,,,,,,,
Spain,5.09999990463257,7.5,10.1000003814697,12,13.8000001907349,15.5,15.8000001907349,18.2999992370605,18.6000003814697,16.6000003814697,14.8999996185303,14,14.3999996185303,17.1000003814697,19.7999992370605,19.2000007629395,18.1000003814697,17,15.5,12.5,10.3999996185303,6.90000009536743,6.80000019073486,6.5,5.69999980926514,4,3.29999995231628,2.90000009536743
Sweden,0.10000000149012,0.10000000149012,0.30000001192093,0.30000001192093,0.40000000596046,0.30000001192093,0.30000001192093,0.5,0.30000001192093,0.20000000298023,0.20000000298023,0.30000001192093,0.60000002384186,1,1.70000004768372,1.89999997615814,2.40000009536743,2.90000009536743,2.40000009536743,1.79999995231628,1.20000004768372,0.89999997615814,0.80000001192093,0.80000001192093,1,,,0.69999998807907
Switzerland,,,,,,,,,,,,0.40000000596046,0.80000001192093,1,1.5,1.39999997615814,1.20000004768372,1.20000004768372,1.20000004768372,1.29999995231628,0.89999997615814,1.20000004768372,0.69999998807907,1.29999995231628,1.70000004768372,2,2,1.89999997615814
Trinidad and Tobago,,,,,,,,,,,,8.5,8.60000038146973,7.80000019073486,7.59999990463257,6.69999980926514,7.09999990463257,7.09999990463257,6.80000019073486,5.69999980926514,5.69999980926514,5,,,,,,
Turkey,,,,,,,,,5.59999990463257,4.40000009536743,4.30000019073486,3.5,3.79999995231628,4.80000019073486,4.09999990463257,3.40000009536743,3.20000004768372,3.70000004768372,3.09999990463257,2.59999990463257,1.79999995231628,2.29999995231628,3.29999995231628,2.90000009536743,4.30000019073486,4.80000019073486,4.59999990463257,4
United Kingdom,,,,,3.5,4.59999990463257,4.30000019073486,4.09999990463257,2.5,2,1.5,1.60000002384186,1.89999997615814,2.40000009536743,2.5,2.20000004768372,1.79999995231628,1.60000002384186,1.29999995231628,1.10000002384186,0.89999997615814,0.80000001192093,0.69999998807907,0.69999998807907,0.69999998807907,0.69999998807907,0.69999998807907,0.89999997615814
United States,0.20000000298023,0.40000000596046,0.5,0.89999997615814,0.69999998807907,0.5,0.40000000596046,0.40000000596046,0.30000001192093,0.20000000298023,0.20000000298023,0.30000001192093,0.60000002384186,0.60000002384186,0.60000002384186,0.5,0.5,0.40000000596046,0.30000001192093,0.30000001192093,0.20000000298023,0.30000001192093,0.5,0.60000002384186,0.60000002384186,0.5,0.40000000596046,0.40000000596046