Male 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,15.3000001907349,14.6999998092651,13.1000003814697,10.3999996185303,13,18.2000007629395,19.8999996185303,18.8999996185303,16.8999996185303,15.1000003814697,15.6000003814697,16.7000007629395,15.1999998092651,13.8000001907349,12.6999998092651,14.5,13.6999998092651,12.6999998092651,11.8999996185303,11
Canada,13.5,20.2999992370605,21.5,18.7999992370605,17.3999996185303,15.8999996185303,14.1999998092651,12.1999998092651,12,13.3999996185303,18.2999992370605,19.5,19.5,17.7999992370605,16.2999992370605,16.7999992370605,17.1000003814697,16.5,15.1999998092651,13.8000001907349,14.3999996185303,15.3000001907349,15.1999998092651,14.8000001907349,14.1000003814697
Czech Rep.,,,,,,,,,,,,,6.90000009536743,7.90000009536743,7.19999980926514,6.40000009536743,7.40000009536743,10.6999998092651,15.8000001907349,16.6000003814697,15.8999996185303,15,16.7000007629395,21.1000003814697,22.7999992370605
Estonia,,,,,,,,,,,,,,,,,,,,22,18.3999996185303,14,15.1999998092651,20,16.1000003814697
Finland,8.80000019073486,9.60000038146973,10.3000001907349,9.39999961853027,9.39999961853027,10.3000001907349,9.60000038146973,8.30000019073486,7.69999980926514,9.39999961853027,16.3999996185303,25.8999996185303,31.2999992370606,31.5,25.6000003814697,24.2999992370605,22,20,18.6000003814697,18.7999992370605,17.6000003814697,18.6000003814697,19.3999996185303,19.7000007629395,18.3999996185303
France,12.3000001907349,13.8000001907349,15,18.7999992370605,19.2000007629395,18.2999992370605,16.6000003814697,15.1999998092651,13.5,12.8000001907349,14.6000003814697,16.6000003814697,20.6000003814697,21.1000003814697,18.7999992370605,20.6000003814697,21.2999992370605,19.8999996185303,19.5,16.2000007629395,15.6999998092651,18.1000003814697,20.2000007629395,21.2999992370605,21.1000003814697
Germany,,,,,,,,,,,4.90000009536743,5.69999980926514,7.40000009536743,8.19999980926514,8.30000019073486,9.60000038146973,10.6999998092651,9.69999980926514,8.69999980926514,8.89999961853027,9.19999980926514,10.6999998092651,13,14.8000001907349,16.1000003814697
"Hong Kong, China",,,,,6.30000019073486,5.90000009536743,3.70000004768372,3.59999990463257,3.09999990463257,3.40000009536743,4.59999990463257,4.69999980926514,5,5.19999980926514,7.69999980926514,7.30000019073486,5.59999990463257,11.8000001907349,15.6000003814697,11.8999996185303,13.5,18.2000007629395,18.6000003814697,15.3000001907349,13.8000001907349
Ireland,,,22.1000003814697,24.7999992370605,24.7000007629395,28.2999992370606,27.2000007629395,26,22.5,18.8999996185303,23.3999996185303,24.8999996185303,27,25.3999996185303,20.5,19.2000007629395,16.8999996185303,12,8.60000038146973,6.09999990463257,6.40000009536743,8.80000019073486,8.69999980926514,8.60000038146973,9.10000038146973
Japan,4.19999980926514,4.19999980926514,4.59999990463257,4.90000009536743,4.80000019073486,5.19999980926514,5.40000009536743,5.09999990463257,4.69999980926514,4.5,4.69999980926514,4.59999990463257,4.90000009536743,5.59999990463257,6.09999990463257,6.80000019073486,6.90000009536743,8.19999980926514,10.3000001907349,10.3999996185303,10.3999996185303,11.3000001907349,11.6000003814697,10.6000003814697,9.89999961853027
"Korea, Rep.",,,,,,,,,,,,9.10000038146973,11.8999996185303,9.10000038146973,7.80000019073486,8,9.19999980926514,20.2000007629395,17.1000003814697,13.1999998092651,12.5,10,11.6000003814697,12,12
Latvia,,,,,,,,,,,,,,,,32.4000015258789,24.3999996185303,25,26.2000007629395,21.2999992370605,21.8999996185303,17.8999996185303,17.5,16.5,12.5
Lithuania,,,,,,,,,,,,,,,,,,24.3999996185303,28.2000007629394,30.3999996185303,34.2999992370606,21.8999996185303,21.2999992370605,21,15
Netherlands,,,,,,,12.8999996185303,13,10.8000001907349,10,10.1000003814697,8,9.69999980926514,10.8999996185303,11.8999996185303,10.8999996185303,8.60000038146973,7.19999980926514,5.90000009536743,4.80000019073486,5.69999980926514,6.40000009536743,7.80000019073486,11.1999998092651,9.39999961853027
New Zealand,,,,,,7.90000009536743,8.39999961853027,11.6999998092651,14.3000001907349,14.8999996185303,20.6000003814697,20.3999996185303,18.5,15.6000003814697,11.8999996185303,12.3999996185303,13.1000003814697,15.6000003814697,14.5,14.1999998092651,12.1000003814697,11.6000003814697,10.1000003814697,8.69999980926514,9.10000038146973
Norway,5.30000019073486,7.30000019073486,8.19999980926514,7.40000009536743,5.80000019073486,3.90000009536743,4.19999980926514,7.40000009536743,11.8999996185303,12.3999996185303,13.6000003814697,15,14.5,13.1000003814697,12.1999998092651,11.6999998092651,10.1999998092651,9.5,9.60000038146973,9.60000038146973,10.6000003814697,12.3999996185303,12.6999998092651,12.6000003814697,12.6000003814697
Philippines,,,,,,18.2000007629395,17.1000003814697,15.6999998092651,15.8999996185303,13.3999996185303,18.7000007629395,12.6000003814697,11.3999996185303,12,12.3999996185303,10.8000001907349,16.6000003814697,13.8999996185303,13.3000001907349,16.7000007629395,15.1000003814697,16.3999996185303,15.3000001907349,16.2000007629395,15.8999996185303
Poland,,,,,,,,,,,,,25,27.2999992370605,25.8999996185303,23.7999992370605,20,19.3999996185303,26,30.8999996185303,37.5,41.0999984741211,39.5999984741211,36.9000015258789,34.7999992370606
Portugal,,,,,,,,,,,,8,9.80000019073486,12,13.8000001907349,13.5,11.3000001907349,7.90000009536743,7,6,7,9.60000038146973,12,13.3000001907349,13.6999998092651
Romania,,,,,,,,,,,,,,20.2000007629395,18.7999992370605,17.5,15.8999996185303,17.2999992370605,19,19.6000003814697,17.6000003814697,21.7000007629395,18.2999992370605,22.3999996185303,20.5
Singapore,4.59999990463257,4.30000019073486,5,4.5,6.09999990463257,7.90000009536743,6.19999980926514,4.80000019073486,3.40000009536743,3.29999995231628,3.5,4.59999990463257,4.69999980926514,4.69999980926514,4.80000019073486,5.09999990463257,4,5.30000019073486,5.5,,5.40000009536743,6.40000009536743,7.09999990463257,7.80000019073486,
Slovak Republic,,,,,,,,,,,,,,,,,21.1000003814697,23.7999992370605,32.0999984741211,36.4000015258789,38.4000015258789,36.5999984741211,32.7000007629394,33,
Slovenia,,,,,,,,,,,,,26.8999996185303,21.5,18.1000003814697,20,16.2999992370605,17.6000003814697,17.2000007629395,14.5,15,14.8000001907349,12.6999998092651,11.3000001907349,14.8000001907349
Spain,28.2000007629394,31.7999992370606,33.7000007629394,37.9000015258789,39.2000007629394,38.2000007629394,33.7000007629394,29.3999996185303,24.3999996185303,23.1000003814697,22.7000007629395,26.5,39.7000007629394,40.9000015258789,36.9000015258789,36.2000007629394,33.2000007629394,29,23.2000007629395,20.2999992370605,16.7000007629395,18.5,19.5,18.7000007629395,16.7000007629395
Sweden,5.69999980926514,7,7.30000019073486,5.69999980926514,5.59999990463257,5.90000009536743,5.19999980926514,4,3.90000009536743,4.80000019073486,8.5,16.2000007629395,26.1000003814697,25.2999992370605,20.7000007629395,21.6000003814697,21.7999992370605,17.2999992370605,14.8000001907349,12.3999996185303,12.8999996185303,13.8000001907349,14.6999998092651,17.7000007629395,23.2000007629395
Switzerland,,,,,,,,,,,2.90000009536743,4.80000019073486,7,5.30000019073486,5.40000009536743,5.19999980926514,7.90000009536743,4.69999980926514,5.59999990463257,5.69999980926514,5.80000019073486,7.30000019073486,8.19999980926514,8,8.5
Turkey,,,,,,,,,,,,17.8999996185303,18.7000007629395,17.5,16.8999996185303,14.8000001907349,14,14.8999996185303,15.6000003814697,13.6999998092651,17.2000007629395,20.2999992370605,21.5,20.1000003814697,19.2999992370605
United Kingdom,,,,,,,,,,,,,,,,,,,,,12,13,13.3000001907349,11.8000001907349,13.3999996185303
United States,14.6000003814697,17.7000007629395,17.1000003814697,13.3999996185303,13.1000003814697,12.6999998092651,11.8000001907349,10.6999998092651,10.6000003814697,10.8000001907349,13.3999996185303,14.3999996185303,13.6000003814697,12.6000003814697,12.5,12.6000003814697,11.8000001907349,11.1000003814697,10.3000001907349,9.69999980926514,11.3999996185303,12.8000001907349,13.3999996185303,12.6000003814697,12.3999996185303