Physicians per 1000 people,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.034844249486923,,,,,0.063427798449993,,,,,0.064900003373623,,,,,,,,,,,0.076999999582768,,,,,0.183100000023842,0.179000005125999,,0.129199996590614,0.1092000008,,,0.1428000033,,,,0.11,,,,0.186,,,,0.2,,,,0.21,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.276291221380234,,,,,0.48128342628479,,,,,0.739499986171722,0.910899996757507,0.845499992370606,,,,,1.03649997711182,,,1.36679995059967,,,1.41480004787445,1.40659999847412,1.40629994869232,,,,1.40330004692078,1.3740999699,1.4702999592,1.6500999928,1.4254000187,1.3153990507,1.306,1.354,1.295,1.289,1.282,1.389,,1.305,,,,1.15,1.146,,,,
Algeria,0.173148155212402,,,,,0.116413652896881,,,,,0.123499996960163,,,,,,,,,0.380100011825562,,,,,0.427100002765656,,,,0.428799986839294,,0.9416000247,,,0.82099998,,0.846,,,1,,,,1.13,,,,,1.207,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,0.772300004959106,,,,,,,,,,,,,,,0.781,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.231,,2.435,2.47,2.594,2.549,2.594,,3.697,,,3.64,3.716,,,,
Angola,0.067068107426166,,,,,0.076061777770519,,,,,0.116300001740456,,,,,,,,,,,,,,0.059399999678135,,,,,,0.0421000011,,,,,,,0.077,,,,,,,0.08,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.293577969074249,,,,,,,,,,0.349299997091293,,,,,,,,,,,,,,,,,,,,0.7599999905,0.9185000062,,3.030299902,,0.76,1.141,,,0.17,,,,,,,,,,,,
Argentina,1.35069847106934,,,,,1.66665172576904,,,,,1.89219999313354,,,,,1.86930000782013,,,,,,,,,2.68330001831055,2.70499992370605,2.98440003395081,,3.03200006484985,,2.6800000668,,2.6840000153,,,2.68,,,3.01,,,,,,3.155,3.21,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,3.21050000190735,3.27789998054504,3.40580010414124,3.45350003242493,3.50090003013611,3.57719993591309,3.67389988899231,3.73550009727478,3.76270008087158,3.88120007514954,3.9244000912,3.701499939,3.5969998837,3.3454999924,3.1221001148,3.042,3.591,3.156,3.156,3.051,2.987,3.526,,3.588,,,3.7,3.697,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,
Australia,,1.1,,,,,1.2,,,,,1.2,,,,,1.5,,,,,1.8,,,1.8,1.9,2,2.1,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.47,2.5,,,,0.963,,,2.991,,
Austria,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.1,3.2,3.3,3.3,3.4,,,3.66,3.794,,4.749,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,3.36209988594055,,,,,3.79949998855591,3.87719988822937,3.90619993209839,3.96350002288818,3.9899001121521,3.9172000885,3.9163999557,3.8812999725,3.9277000427,3.8961000443,3.925,3.899,3.831,3.602,3.521,3.607,3.536,,3.547,,,3.63,3.794,,,,
Bahamas,0.495575219392776,,,,,,,,,,0.760200023651123,,,,,,,,,,0.938099980354309,,,,0.943199992179871,,,,,,1.2900999784,,,1.4457000494,,1.49,1.518,,1.05,,,,,,,,,,,,,
Bahrain,0.449664443731308,,,,,,,,,,0.428600013256073,,,,,,,,,,1.0867999792099,,,,,1.21879994869232,,,,,,1.3150000572,,0.1098999977,,,,1,,,,1.596,,,1.087,2.72,,2.965,1.442,,,
Bangladesh,,,,,,0.123074822127819,,,,,0.118699997663498,,,,,,,,,,0.12049999833107,,,,,0.153899997472763,0.144099995493889,,,,0.176699996,0.1884000003,,,,0.201,,0.2,,,,0.231,,,0.257,0.3,,0.295,,,,
Barbados,0.329432159662247,,,,,,,,,,0.522599995136261,,,,,,,,,,,,,,0.890699982643128,,,,,,1.1395000219,,,1.2539999485,,1.28,,,,1.21,,,,,,1.811,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,2.96160006523132,,,,,3.32850003242493,3.37520003318787,3.44539999961853,3.51239991188049,3.57620000839233,3.5604000092,3.5764000416,3.6382000446,4.0762000084,4.1424999237,4.155,4.286,4.365,4.431,4.551,4.579,4.497,4.52589255046168,4.55,4.62240181222641,4.68,4.78,4.869,4.98,5.11,,
Belgium,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,,1.5,1.6,1.7,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.5,2.8,2.7,2.8,2.9,3,3.1,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.9,3.9,3.9,,,,4.23,,2.987,,,
Belize,0.241625487804413,,,,,,,,,,0.341800004243851,,,,,,,,,,,,,,0.271899998188019,,0.450700014829636,,0.471599996089935,,0.6391999722,,,0.4927000105,,0.6,0.548,,,,1.05,,,,,,,,,0.828,,
Benin,0.039785426110029,,,,,0.02962962910533,,,,,0.034400001168251,,,,,,,,,,0.059000000357628,0.059000000357628,,0.075000002980232,,0.073499999940395,,,,0.070799998939037,0.0505000018,0.0421999991,0.0551000014,0.057,0.060800001,0.058,,,,,,,,,0.04,,,,0.059,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.766,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,0.124600000679493,0.10249999910593,,,,,,,,0.3332999945,,,,0.1703999937,0.16,,,,0.051,,,,,0.051,,,0.023,,,,
Bolivia,0.267084449529648,,,,,0.310565620660782,,,,,0.508800029754639,,,,,0.490200012922287,,,,,,0.523299992084503,,,0.697499990463257,,,,,,0.4499999881,,,0.4259000123,,0.34,,1.299,,,,1.22,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,1.03269994258881,1.08910000324249,1.17019999027252,1.20700001716614,1.28030002117157,1.36210000514984,1.4186999797821,1.48479998111725,1.52009999752045,1.55659997463226,1.570299983,1.5551999807,,,,,,,1.427,1.401,1.422,1.338,,1.34,,1.4179,,,,,,
Botswana,0.04166666790843,,,,,0.036416605114937,,,,,0.064400002360344,,,,,0.133100003004074,,,,,0.122500002384186,0.134200006723404,,0.143900007009506,,,,,0.200499996542931,0.194100007414818,,,,0.1941000074,0.2380000055,,,,,0.288,,,,,0.4,,0.336,,,,,
Brazil,0.373924285173416,,,,,0.399831622838974,,,,,0.49219998717308,,,,,0.624400019645691,,,,,,0.767099976539612,,,0.926699995994568,1.46689999103546,,,1.18529999256134,,1.3600000143,,,,,1.31,1.272,1.308,,1.396,1.15,,,,,,1.694,1.72,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0.14634145796299,,,,,,,,,,0.300000011920929,,,,,,,,,,0.43520000576973,0.486799985170364,,,0.533800005912781,,,,,,,0.7462000251,,,,,0.848,,,,1.006,,1.14,,,,,,1.417,,,
Bulgaria,1.40472865104675,,,,,1.6666259765625,,,,,1.86329996585846,1.89579999446869,1.98489999771118,2.04159998893738,2.10150003433228,2.15210008621216,2.20490002632141,2.25789999961853,2.3206000328064,2.40759992599487,2.45959997177124,2.48429989814758,2.58829998970032,2.6875,2.75850009918213,2.86470007896423,2.95289993286133,3.02150011062622,3.0896999835968,3.13899993896484,3.1696000099,2.9793000221,3.1661000252,3.3587999344,3.3273000717,3.458,3.539,3.447,3.449,3.463,3.399,3.384,,3.562,,,3.66,3.665,3.635,,,
Burkina Faso,0.011015119031072,,,,,0.013521458022296,,,,,0.010300000198185,,,,,,,,,,0.018200000748038,0.017899999395013,,0.017500000074506,,,0.003800000064075,,,0.028999999165535,,,,,,0.034,0.035,0.038,,,,0.04,,,0.05,,,,0.064,,,
Burundi,0.01020061224699,,,,,0.017429193481803,,,,,0.017100000753999,,,,,0.012199999764562,,,,,,,,,0.046900000423193,,0.05799999833107,,,,0.0581,0.058699999,,0.056499999,,0.055,,,,,0.052,,,,0.03,,,,,,,
Cambodia,0.028345298022032,,,,,0.044618140906096,,,,,0.061500001698732,,,,,,,,,,,,,0.058200001716614,,,,,,,,,0.1067000031,0.1037999988,0.1048000008,,,,0.297,0.296,0.16,,,,,,,,0.227,,,
Cameroon,0.033799093216658,,,,,0.037062224000692,,,,,0.034000001847744,,,,,0.071999996900558,,,,0.071099996566772,,,,,,,,,,0.083800002932548,0.0824000016,,0.0837000012,0.0728999972,,,0.074,,,,,,,,0.19,,,,,,,
Canada,,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,,,1.9132,,,,,
Cape Verde,0.076530613005161,,,,,,,,,,0.082400001585484,,,,,,,,,,0.176499992609024,,,0.19990000128746,,,0.329499989748001,,0.341500014066696,,,,0.233799994,,,,0.171,,,,,,,,0.49,,,,0.572,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7000000477,,,,,1.7,,1.939,,,,,,,,,,,,,,
Central African Republic,0.020208604633808,,,,,0.030411448329687,,,,,0.022700000554323,,,,,,,,,,0.04280000180006,0.043800000101328,0.042599998414516,,,,,,,0.039000000804663,0.0384000018,,,0.0551999994,,0.035,,,,,,,,,0.08,,,,,,,
Chad,0.013707571662962,,,,,0.013797240331769,,,,,0.016200000420213,,,,,,,,0.021099999547005,,,,,,,,0.026300000026822,,,0.026200000196695,,,,,0.0329999998,,,,,,,0.025,,,0.04,,,,,,,
Channel Islands,1.01923072338104,,,,,,,,,,1.20000004768372,,,,,,,,,,1.45739996433258,1.52240002155304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0.558622479438782,,,,,0.472701817750931,,,,,0.463499993085861,,,,,,,,,0.51639997959137,,,,,0.816799998283386,,,,,,1.1000000238,1.0663000345,,,1.1030000448,1.08,,,1.153,,,,,1.09,,,1.28369704749679,,,,,
China,,,,,,1.07000005245209,0.959999978542328,0.939999997615814,0.910000026226044,0.879999995231628,0.860000014305115,0.850000023841858,0.860000014305115,0.889999985694885,0.9200000166893,0.959999978542328,1,1.02999997138977,1.08000004291534,1.12000000476837,1.17999994754791,1.25,1.29999995231628,1.32000005245209,1.33000004291534,1.3400000333786,1.35000002384186,1.37000000476837,1.47000002861023,1.53999996185303,1.5499999523,1.5499999523,1.5499999523,1.5499999523,1.5800000429,1.59,1.59,1.61,1.61,1.67,1.64,1.055,1.642,1.42,,1.51,,,,1.415,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0.354155540466309,,,,,0.37746924161911,,,,,0.419699996709824,,,,,,,0.478399991989136,,,,,,,0.758400022983551,,0.807799994945526,,0.873099982738495,,1.0900000334,,,0.9049999714,,0.99,,1.16,1.27,1.088,1.32,1.34,1.35,1.37,1.38,1.39,1.41,1.42,1.43,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,0.08389999717474,,,,0.163499996066093,,0.1133999974,,0.1274999976,,,,,0.074,,,,,,,0.15,,,,,,,
"Congo, Dem. Rep.",0.014543794095516,,,,,0.028420092537999,,,,,0.035300001502037,,,,,0.035700000822544,,,,0.072800002992153,,,,,,,,0.074699997901916,,,0.0661000013,,,,,,0.069,,,,,,,,0.11,,,,,,,
"Congo, Rep.",0.05971660092473,,,,,0.06750675290823,,,,,0.100599996745586,,,,,,,,0.173800006508827,,,,0.118900001049042,,,0.252099990844727,0.252499997615814,,,,0.2761000097,,,,,0.251,,,,,,,,,0.2,,,0.095,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0.391118705272675,,,,,0.517096996307373,,,,,0.614300012588501,,,,,,,,,0.679499983787537,,,,,0.989600002765656,,,0.96780002117157,0.880599975585938,,1.2599999905,,,0.8826000094,0.8453999758,0.854,0.864,0.872,0.901,1.719,1.32,,,,,,,,,,,
Cote d'Ivoire,0.032548293471336,,,,,0.048155512660742,,,,,0.064400002360344,,,,,,,,,,,,,,,0.070600003004074,,,,,0.0877000019,,,,,,0.09,,,,,,,,0.12,,,,0.144,,,
Croatia,,,,,,,,,,,,,,,,,,,,,1.67270004749298,1.73790001869202,1.80809998512268,1.85829997062683,1.88030004501343,1.94379997253418,2.0164999961853,2.06579995155334,2.09279990196228,2.1340000629425,2.1247000694,1.9436999559,1.975200057,2.0283999443,2.0111000538,2.036,2.25,2.259,2.288,2.352,2.383,2.374,2.4,2.444,2.4,2.5,2.47,2.59,2.66117938888262,2.6747493904091,,
Cuba,0.946170389652252,,,,,0.875806033611298,,,,,0.821600019931793,,,,,,,,,,,1.38789999485016,,,1.88610005378723,,,,2.99990010261536,,3.6414000988,,,,,5.18,,5.304,,,5.897,,5.91,,,,,6.399,,,,
Cyprus,0.682373464107513,,,,,,,,,,0.801599979400635,,,,,,,,,,0.916499972343445,0.972500026226044,,,,,1.39300000667572,1.38030004501343,,,1.7605999708,,,,,,2.55,,,2.119,2.983,,2.342,,,,2.3,,,,,
Czech Republic,,,,,,,,,,,1.8,1.9,1.9,1.9,2,2,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.9,2.9,3,3,3.1,3,3.1,3.4,3.4,3.5,3.5,,,3.58,3.61,3.625,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,1.8,1.8,2,2.1,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.4,2.6,2.6,2.6,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.9,,3.59,,3.163,3.419,,,,
Djibouti,0.156626507639885,,,,,,,,,,0.283899992704392,,,,,,,,,,,0.223700001835823,,,0.238499999046326,,,,,,0.162499994,,,,,0.191,0.14,,,0.133,,,,,0.181,0.18,0.229,,,,,
Dominica,0.132669985294342,,,,,,,,,,0.160799995064735,,,,,,,,,,,,,,0.338600009679794,,,,,,0.4600000083,0.5278000236,,,,0.47,0.493,0.5,,,,,,,,,,,,,,
Dominican Republic,0.121324673295021,,,,,0.588281631469726,,,,,,,,,,0.435000002384186,,,,,,,,,0.564400017261505,,,,1.07389998435974,,1.4900000095,,,1.0539000034,,1.5,,2.156,,,1.88,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.395584583282471,,,,,0.334564536809921,,,,,0.348399996757507,,,,,0.351200014352798,,0.637000024318695,,,,,,,1.24430000782013,,,,,,1.5332000256,,,,,1.33,1.325,1.696,,1.397,1.48,,,,,,,,,,,
Egypt,0.391327828168869,,,,,0.434788525104523,,,,,0.52700001001358,,,,,0.535899996757507,,,,,1.0654000043869,1.36380004882812,1.36539995670319,,,,1.30359995365143,,,,0.7595000267,,,,1.8400000334,,2.02,1.6,,,2.118,,,,,2.43,,,,2.83,,
El Salvador,0.187354534864426,,,,,,,,,,0.2432000041008,,,,,0.241999998688698,,,,,0.325599998235702,0.386500000953674,,,0.351700007915497,,,,0.647300004959106,,0.8399999738,,,0.6600999832,,0.91,,1.071,,,1.211,,1.24,,,,1.5,,1.596,,,
Equatorial Guinea,0.16666667163372,,,,,,,,,,0.085900001227856,,,,,,,,,,,,,,,,,,,,0.2813000083,,,,,0.208,0.246,,,,,,,,0.3,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0188999996,,,0.03,,,,,,,,0.05,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,2.93799996376038,,,,,3.35019993782043,3.40799999237061,3.48399996757507,3.48539996147156,3.49009990692139,3.5037999153,3.5355000496,3.263999939,3.2072000504,3.2000000477,3.191,3.148,3.114,3.11,3.206,4.475,3.16,,,,,3.33,,3.409,,,
Ethiopia,0.0087831011042,,,,,0.014246920123696,,,,,0.011599999852478,,,,,0.011599999852478,,,,,0.011300000362098,0.011300000362098,,,0.012699999846518,,,,0.030799999833107,,,,,,0.0285,,0.025,0.023,0.021,0.02,0.021,0.028,0.029,0.03,,,,0.022,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0.494923859834671,,,,,,,,,,0.471199989318848,,,,,0.475699990987778,,,,,0.447899997234344,,0.493900001049042,,,,,,,0.35809999704361,,,0.472299993,,0.3763000071,,,0.476,0.357,0.337,,,,0.4529,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.6,2.6,,,3.3,3.319,2.735,,,
France,,,,,,,,,,,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2,2.1,2.1,2.5,2.7,2.8,2.8,2.9,3,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.367,,3.41,3.736,3.497,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,1.25150001049042,,,,,,,,,,,,,,,1.697,,,,,,,,,,,
Gabon,0.117283947765827,,,,,,,,,,0.190500006079674,,,,,,,,,,,0.457199990749359,,0.433400005102158,,0.518100023269653,,,0.245700001716614,0.494199991226196,,,,0.2150599957,0.256990999,0.289,,,,,,,,,0.29,,,,,,,
Gambia,0.042613636702299,,,,,,,,,,0.040899999439716,,,,,0.040100000798702,,,,,,,,,,0.08110000193119,,,,,,,,0.0163000003,,,,0.035,,,,,,0.11,,,,,0.038,,,
